epoch,loss,val_loss
0,1.0918549949836938,0.11844397320674967
1,0.11847490205629284,0.11884661778645716
2,0.11848997038348012,0.11822438363362633
3,0.11848756723233887,0.11827534105027741
4,0.11848498270404136,0.11860998912578706
5,0.11852768600513484,0.11831101632759278
6,0.11847646361839471,0.11876616003570466
7,0.11856480622361344,0.11841845273240824
8,0.11854201449338105,0.11841915551584456
9,0.11858882291122354,0.11830613983851616
10,0.11855413719416205,0.11846350666107525
11,0.11856140469778731,0.11873311261698608
12,0.11856320252150951,0.11889965161701935
13,0.11857593282608117,0.11852171788327905
14,0.1185860796064613,0.11843450370772232
15,0.1185619925395366,0.11877679834793656
16,0.11859094712805746,0.11863386117422206
17,0.11861458089928076,0.11859612146952452
18,0.11864309897479194,0.11860033325429546
19,0.11851198687510334,0.11851572108969578
20,0.11857748420616421,0.11856263791262589
21,0.11856256199742414,0.11843296301318397
22,0.11849903584347964,0.11837237443506103
23,0.1185637086854156,0.11841625189857584
24,0.1186126229564785,0.11864192574369306
25,0.1185922319574608,0.11892788996932964
26,0.11861084762156324,0.11892761346539205
27,0.11858490690854255,0.11820647660637673
28,0.11852795357523652,0.11944150312692882
29,0.11860483848935639,0.11871261257386599
30,0.11857079080844032,0.11845363696892304
31,0.1185672034630418,0.11824380277374986
32,0.11850902919760814,0.11909430364640386
33,0.11860642807089548,0.11847308184666101
34,0.11860225308908577,0.11867094390337166
35,0.11853291598017517,0.119476455749825
36,0.11856594957038254,0.11855048609455836
37,0.11860629108389398,0.11851302983784749
38,0.11856229672238476,0.11838027449180967
39,0.11858395707542475,0.11846018941098849
40,0.1185886120159993,0.11856219257591627
41,0.11850827298353642,0.1186710637022307
42,0.11857628707482687,0.11942955617387835
43,0.11857022530104008,0.11859223250518705
44,0.11860643394989966,0.11846729562487832
45,0.11857339965801222,0.11881933540861465
46,0.11856211806057197,0.11837138964849848
47,0.11854296291197623,0.1183275420184453
48,0.11851534687356706,0.11886683877014656
49,0.1185460453465244,0.1188831372982149
